"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL210005";"";"0";"478.68";"1";"6.26";"(-)-16";"C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1";"Emax";"'='";"55.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL870418";"Antagonist activity against human mu opioid receptor expressed in CHO cells assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146899";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3308072";""
"CHEMBL147511";"";"0";"789.16";"2";"11.04";"10, MCL-144";"O=C(CCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3";"Emax";"'='";"51.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1056146";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTPgammaS binding relatiev to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154777";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308072";""
"CHEMBL582930";"";"0";"817.21";"2";"11.53";"4a";"CC(CCCCCCC(C)C(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)C(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3";"Emax";"'='";"26.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1056146";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTPgammaS binding relatiev to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154777";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308072";""
"CHEMBL3264742";"";"0";"500.60";"1";"3.32";"4a";"O=C1[C@H]2O[C@@]34CC[C@@]5(OCOc6c(O)ccc7c6[C@@]3(CCN(CC3CC3)[C@@H]4C7)[C@H]25)N1Cc1ccccc1";"Emax";"'='";"13.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3271438";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]-GTP[gammaS] binding relative to DAMDO";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259551";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2014";"CHEMBL3308072";""
"CHEMBL3264743";"";"0";"460.53";"0";"2.54";"4c";"CN1CC[C@@]23c4c5ccc(O)c4OCO[C@]46CC[C@@]2(O[C@H](C(=O)N4Cc2ccccc2)[C@H]63)[C@H]1C5";"Emax";"'='";"110.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3271438";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]-GTP[gammaS] binding relative to DAMDO";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259551";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2014";"CHEMBL3308072";""
"CHEMBL470585";"";"0";"297.79";"0";"1.13";"(+)-1.HCl";"CC(C)N[C@H]1CCn2c(=O)[nH]c3cccc(c32)[C@@H]1O.Cl";"Emax";"'='";"96.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1010738";"Antagonist activity at human recombinant mu opioid receptor expressed in AequoScreen cells assessed as aequorin-derived receptor-mediated changes in intracellular calcium levels";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152790";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL513390";"ZILPATEROL HYDROCHLORIDE";"0";"297.79";"0";"1.13";"(rac)-1.HCl, Zilpaterol hydrochloride";"CC(C)N[C@@H]1CCn2c(=O)[nH]c3cccc(c32)[C@H]1O.Cl";"Emax";"'='";"93.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1010738";"Antagonist activity at human recombinant mu opioid receptor expressed in AequoScreen cells assessed as aequorin-derived receptor-mediated changes in intracellular calcium levels";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152790";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL249567";"";"0";"481.48";"1";"5.36";"7";"C[C@H]1C2Cc3ccc(C(=O)NCCc4ccc(Br)cc4)cc3[C@@]1(C)CCN2CC1CC1";"Emax";"'='";"73.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL941715";"Agonist activity at human mu opioid receptor expressed in CHO cell membrane by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140563";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL2163917";"";"0";"612.69";"2";"1.95";"13";"C=C(C(N)=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)c1ccoc1";"Emax";"'='";"98.73";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2166546";"Agonist activity at mu opioid receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by liquid scintillation counter relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163332";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307715";""
"CHEMBL316446";"ENDOMORPHIN-1";"0";"610.72";"2";"1.67";"1, EM-1";"NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1";"Emax";"'='";"83.13";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL2166546";"Agonist activity at mu opioid receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by liquid scintillation counter relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163332";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307715";""
"CHEMBL242048";"";"0";"430.59";"1";"6.16";"(-)3d";"O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3";"Emax";"'='";"80.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL887396";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTP-gamma-S binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144610";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL571843";"";"0";"259.35";"0";"2.53";"(-)-1a";"CN1CC[C@]23c4cccc(O)c4O[C@H]2CCC[C@H]3C1";"Emax";"'='";"35.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1039844";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding relative to 1 uM DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156815";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308072";""
"CHEMBL70";"MORPHINE";"4";"285.34";"0";"1.20";"Morphine";"CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5";"Emax";"'='";"86.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1039844";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding relative to 1 uM DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156815";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308072";""
"CHEMBL585721";"";"0";"349.47";"0";"4.14";"(-)-1c";"Oc1cccc2c1O[C@H]1CCC[C@H]3CN(CCc4ccccc4)CC[C@]213";"Emax";"'='";"101.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1039844";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding relative to 1 uM DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156815";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308072";""
"CHEMBL316446";"ENDOMORPHIN-1";"0";"610.72";"2";"1.67";"EM-1";"NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1";"Emax";"'='";"83.13";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3630378";"Agonist activity at mu opioid receptor (unknown origin) transfected in HEK293 cells assessed as inhibition of forskolin-stimulated cAMP production";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3627650";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"CHEMBL3307715";""
"CHEMBL2163921";"";"0";"622.73";"2";"2.36";"4";"C=C(C(N)=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)c1ccccc1";"Emax";"'='";"97.94";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2166546";"Agonist activity at mu opioid receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by liquid scintillation counter relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163332";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307715";""
"CHEMBL38874";"DAMGO";"0";"513.60";"2";"-0.94";"DAMGO";"C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO";"Emax";"'='";"73.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2156323";"Agonist activity at human MOR expressed in HEK293 cell membrane assessed as inhibition of forskolin-induced cAMP accumulation by by liquid scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150869";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL260120";"";"0";"483.57";"0";"-0.22";"1, SB0306";"C[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)CC(N)=O)N(C)C(=O)[C@@H](N)Cc1ccc(O)cc1";"Emax";"'='";"77.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2156323";"Agonist activity at human MOR expressed in HEK293 cell membrane assessed as inhibition of forskolin-induced cAMP accumulation by by liquid scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150869";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL2163915";"";"0";"666.74";"2";"2.09";"11";"C=C(C(N)=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)c1ccc2c(c1)OCO2";"Emax";"'='";"83.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2166546";"Agonist activity at mu opioid receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by liquid scintillation counter relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163332";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307715";""
"CHEMBL1852788";"";"0";"481.98";"0";"2.80";"1";"O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccnc(Cl)c1";"Emax";"'='";"58.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2184590";"Agonist activity at mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]-GTP-gammaS binding relative to DAMGO";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176919";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL1834247";"";"0";"495.58";"0";"-0.06";"5, BVD05";"Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](C)C(=O)N[C@H]1Cc2ccccc2CN(CC(N)=O)C1=O";"Emax";"'='";"78.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2156323";"Agonist activity at human MOR expressed in HEK293 cell membrane assessed as inhibition of forskolin-induced cAMP accumulation by by liquid scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150869";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL567213";"";"0";"339.43";"0";"3.24";"(+)-16";"CC[C@]12CCN(C[C@@H](O)c3ccccc3)C[C@H]1Oc1ccc(O)cc12";"Emax";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1056135";"Agonist activity at human recombinant mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]GTPgammaS binding after 3 hrs by liquid scintillation counting relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154776";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308072";""
"CHEMBL2397016";"";"0";"495.58";"0";"3.51";"5";"O=C(N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1cc2ccccc2cn1";"Emax";"'='";"2.84";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2398953";"Agonist activity at mu opioid receptor (unknown origin) expressed CHO cells assessed as stimulation of [35S]-GTP[gammaS] binding at 10 uM relative to DAMGO";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396652";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3308072";""
"CHEMBL2386896";"";"0";"399.53";"0";"4.97";"3a";"Oc1ccc2c(c1)[C@]1(CCc3ccccc3)CCN(CCc3ccccc3)C[C@@H]1O2";"Emax";"'='";"75.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2390772";"Partial agonist activity at human recombinant mu opioid receptor expressed in CHO cell membranes assessed as stimulation of [35S]GTPgammaS binding after 3 hrs by liquid scintillation counting analysis relative to DAMGO";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384966";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"CHEMBL3308072";""
"CHEMBL2397021";"";"0";"445.52";"0";"2.36";"2";"O=C(N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1cccnc1";"Emax";"'='";"5.09";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2398953";"Agonist activity at mu opioid receptor (unknown origin) expressed CHO cells assessed as stimulation of [35S]-GTP[gammaS] binding at 10 uM relative to DAMGO";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396652";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3308072";""
